Ton;Grundfrekvens;2:a deltonen;3:e;4:e;5:e;6:e;7:e;8:e;9:e;10:e;11:e;12:e;13:e;14:e;15:e;16:e;17:e;18:e;19:e;20:e;21:a;22:a;23:e;24:e;25:e;26:e;27:e;28:e;29:e;30:e
A2;27,5;55;82,5;110;137,5;165;192,5;220;247,5;275;302,5;330;357,5;385;412,5;440;467,5;495;522,5;550;577,5;605;632,5;660;687,5;715;742,5;770;797,5;825
A#2;29,14;58,27;87,41;116,54;145,68;174,81;203,95;233,08;262,22;291,35;320,49;349,62;378,76;407,89;437,03;466,16;495,3;524,43;553,57;582,7;611,84;640,98;670,11;699,25;728,38;757,52;786,65;815,79;844,92;874,06
B2;30,87;61,74;92,6;123,47;154,34;185,21;216,07;246,94;277,81;308,68;339,54;370,41;401,28;432,15;463,02;493,88;524,75;555,62;586,49;617,35;648,22;679,09;709,96;740,82;771,69;802,56;833,43;864,3;895,16;926,03
C1;32,7;65,41;98,11;130,81;163,52;196,22;228,92;261,63;294,33;327,03;359,74;392,44;425,14;457,84;490,55;523,25;555,95;588,66;621,36;654,06;686,77;719,47;752,17;784,88;817,58;850,28;882,99;915,69;948,39;981,1
C#1;34,65;69,3;103,94;138,59;173,24;207,89;242,53;277,18;311,83;346,48;381,13;415,77;450,42;485,07;519,72;554,37;589,01;623,66;658,31;692,96;727,6;762,25;796,9;831,55;866,2;900,84;935,49;970,14;1004,79;1039,43
D1;36,71;73,42;110,12;146,83;183,54;220,25;256,96;293,66;330,37;367,08;403,79;440,5;477,21;513,91;550,62;587,33;624,04;660,75;697,45;734,16;770,87;807,58;844,29;880,99;917,7;954,41;991,12;1027,83;1064,53;1101,24
D#1;38,89;77,78;116,67;155,56;194,45;233,35;272,24;311,13;350,02;388,91;427,8;466,69;505,58;544,47;583,36;622,25;661,14;700,04;738,93;777,82;816,71;855,6;894,49;933,38;972,27;1011,16;1050,05;1088,94;1127,84;1166,73
E1;41,2;82,41;123,61;164,81;206,02;247,22;288,42;329,63;370,83;412,03;453,24;494,44;535,64;576,85;618,05;659,26;700,46;741,66;782,87;824,07;865,27;906,48;947,68;988,88;1030,09;1071,29;1112,49;1153,7;1194,9;1236,1
F1;43,65;87,31;130,96;174,61;218,27;261,92;305,57;349,23;392,88;436,54;480,19;523,84;567,5;611,15;654,8;698,46;742,11;785,76;829,42;873,07;916,72;960,38;1004,03;1047,68;1091,34;1134,99;1178,65;1222,3;1265,95;1309,61
F#1;46,25;92,5;138,75;185;231,25;277,5;323,75;369,99;416,24;462,49;508,74;554,99;601,24;647,49;693,74;739,99;786,24;832,49;878,74;924,99;971,24;1017,48;1063,73;1109,98;1156,23;1202,48;1248,73;1294,98;1341,23;1387,48
